species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_1_0|14_9_6,0_1_0|13_8_5,17.08647,60.51,7851.74609,7009.68994,87,81.0
H2O,0_0_0|13_13_1,0_0_0|12_12_0,17.1173,109.8,6259.52686,5418.9873,27,25.0
H2O,0_0_0|13_13_0,0_0_0|12_12_1,17.1173,109.8,6259.52686,5418.9873,81,75.0
H2O,0_1_0|13_10_3,0_1_0|12_9_4,17.30906,72.48,7742.85205,6911.62451,81,75.0
H2O,0_1_0|13_10_4,0_1_0|12_9_3,17.30907,72.48,7742.85254,6911.625,27,25.0
H2O,0_0_0|13_12_1,0_0_0|12_11_2,17.37398,93.17,5881.68701,5053.56543,81,75.0
H2O,0_0_0|13_12_2,0_0_0|12_11_1,17.37398,93.16,5881.68701,5053.56543,27,25.0
H2O,0_1_0|12_12_1,0_1_0|11_11_0,17.38668,101.5,8075.12598,7247.60889,75,69.0
H2O,0_1_0|12_12_0,0_1_0|11_11_1,17.38668,101.5,8075.12598,7247.60889,25,23.0
H2O,0_0_0|14_10_4,0_0_0|13_9_5,17.40497,65.93,5643.35791,4816.71045,29,27.0
H2O,0_0_0|14_10_5,0_0_0|13_9_4,17.405,65.91,5643.3584,4816.7124,87,81.0
H2O,0_1_0|12_11_2,0_1_0|11_10_1,17.67948,84.99,7675.67285,6861.86182,75,69.0
H2O,0_1_0|12_11_1,0_1_0|11_10_2,17.67948,85.01,7675.67285,6861.86182,25,23.0
H2O,0_0_0|13_11_2,0_0_0|12_10_3,17.71748,77.62,5512.21094,4700.14502,81,75.0
H2O,0_0_0|13_11_3,0_0_0|12_10_2,17.71748,77.63,5512.21094,4700.14502,27,25.0
H2O,0_1_0|13_9_4,0_1_0|12_8_5,17.799,58.07,7365.63916,6557.29199,81,75.0
H2O,0_1_0|13_9_5,0_1_0|12_8_4,17.79931,58.06,7365.63721,6557.3042,27,25.0
H2O,0_0_0|14_9_5,0_0_0|13_8_6,17.93349,52.31,5302.49512,4500.21045,29,27.0
H2O,0_0_0|14_9_6,0_0_0|13_8_5,17.93575,52.3,5302.479,4500.29541,87,81.0
