species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_1_0|17_2_15,0_1_0|16_1_16,10.33669,2.598,7488.47217,6096.55957,105,99.0
H2O,0_1_0|18_4_15,0_1_0|17_1_16,10.43161,6.625,8433.01367,7053.76709,111,105.0
H2O,0_1_0|16_3_14,0_1_0|15_0_15,10.9884,2.322,6974.646,5665.28711,99,93.0
H2O,0_1_0|18_5_14,0_1_0|17_2_15,11.06768,10.52,8788.45215,7488.47168,111,105.0
H2O,0_1_0|17_3_14,0_1_0|16_2_15,11.08288,5.979,7864.93213,6566.73438,105,99.0
H2O,0_1_0|13_7_6,0_1_0|12_4_9,11.45486,1.107,6681.49365,5425.45312,81,75.0
H2O,0_1_0|18_6_13,0_1_0|17_3_14,11.57343,13.54,9108.10449,7864.93213,111,105.0
H2O,0_1_0|15_3_13,0_1_0|14_0_14,11.73657,2.073,6485.31934,5259.42627,31,29.0
H2O,0_1_0|15_2_13,0_1_0|14_1_14,11.74744,2.07,6484.18408,5259.42676,93,87.0
H2O,0_1_0|16_4_13,0_1_0|15_1_14,11.75123,5.417,7329.25,6104.88721,99,93.0
H2O,0_1_0|13_6_7,0_1_0|12_3_10,11.76071,1.036,6392.07178,5168.69629,81,75.0
H2O,0_1_0|16_3_13,0_1_0|15_2_14,11.81779,5.376,7322.41846,6104.95117,33,31.0
H2O,0_1_0|17_4_13,0_1_0|16_3_14,12.00584,9.3,8173.04346,6974.646,105,99.0
H2O,0_1_0|16_7_10,0_1_0|15_4_11,12.10458,6.272,8230.83789,7042.21631,99,93.0
H2O,0_1_0|11_7_4,0_1_0|10_4_7,12.28718,0.4983,5810.36084,4639.40283,69,63.0
H2O,0_1_0|14_7_8,0_1_0|13_4_9,12.40411,2.493,7165.42969,6005.50977,87,81.0
H2O,0_1_0|16_5_12,0_1_0|15_2_13,12.44545,8.52,7640.25049,6484.18408,99,93.0
H2O,0_1_0|15_4_12,0_1_0|14_1_13,12.555,4.864,6814.39453,5668.41553,31,29.0
H2O,0_1_0|14_3_12,0_1_0|13_0_13,12.59914,1.845,6021.03809,4879.07373,87,81.0
H2O,0_1_0|12_7_6,0_1_0|11_4_7,12.60313,0.8958,6228.93213,5087.32861,75,69.0
H2O,0_1_0|14_2_12,0_1_0|13_1_13,12.62215,1.84,6018.96338,4879.08057,29,27.0
H2O,0_1_0|15_3_12,0_1_0|14_2_13,12.68409,4.796,6802.85498,5668.53857,93,87.0
H2O,0_1_0|16_6_11,0_1_0|15_3_12,12.75847,9.816,7930.55908,6802.85498,99,93.0
H2O,0_1_0|16_4_12,0_1_0|15_3_13,12.94375,8.302,7596.87891,6485.31934,33,31.0
H2O,0_1_0|11_6_5,0_1_0|10_3_8,13.15066,0.6687,5515.03906,4420.96729,69,63.0
H2O,0_1_0|11_5_6,0_1_0|10_2_9,13.2367,0.4325,5265.78467,4178.82422,69,63.0
H2O,0_1_0|15_5_11,0_1_0|14_2_12,13.2474,7.513,7105.04492,6018.96338,31,29.0
