species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low,xmin,xmax
H2O,0_0_0|21_4_17,0_0_0|20_3_18,9.90602,10.81,8270.2627,6817.83643,129,123.0,9.9015,9.9101
H2O,0_0_0|17_7_10,0_0_0|16_4_13,10.1132,1.558,6371.06738,4948.39502,105,99.0,10.11,10.116
H2O,0_0_0|14_9_6,0_0_0|13_6_7,10.76435,0.7628,5302.479,3965.86646,87,81.0,10.761,10.7709
H2O,0_0_0|15_6_9,0_0_0|14_3_12,10.85307,0.6586,4996.70068,3671.01538,93,87.0,10.8468,10.8614
H2O,0_0_0|12_6_7,0_0_0|11_1_10,11.00168,0.06643,3501.69531,2193.91577,75,69.0,10.9953,11.009
H2O,0_0_0|20_8_13,0_0_0|19_5_14,11.17771,14.51,8556.8457,7269.6626,123,117.0,11.172,11.1853
H2O,0_0_0|12_9_4,0_0_0|11_6_5,11.2531,0.2919,4363.36426,3084.8042,75,69.0,11.2452,11.2612
H2O,0_0_0|20_7_14,0_0_0|19_4_15,11.26877,16.82,8257.4707,6980.68799,123,117.0,11.2607,11.2782
H2O,0_0_0|18_8_11,0_0_0|17_5_12,11.61657,7.511,7244.42334,6005.86719,111,105.0,11.61,11.6242
H2O,0_0_0|17_3_14,0_0_0|16_2_15,11.64764,4.608,5483.08789,4247.83545,105,99.0,11.6383,11.6577
H2O,0_0_0|13_5_8,0_0_0|12_2_11,11.70161,0.1994,3783.02563,2553.4707,81,75.0,11.693,11.709
H2O,0_0_0|14_8_7,0_0_0|13_5_8,11.96812,1.268,4985.19971,3783.02563,87,81.0,11.9608,11.9768
H2O,0_0_0|18_7_12,0_0_0|17_4_13,12.26544,12.28,6953.90771,5780.87451,111,105.0,12.2573,12.2719
H2O,0_0_0|10_6_5,0_0_0|9_1_8,12.5645,0.03912,2697.66797,1552.55469,63,57.0,12.5581,12.5713
H2O,0_0_0|12_5_7,0_0_0|11_2_10,12.89409,0.2562,3310.17212,2194.33032,25,23.0,12.8871,12.9017
H2O,0_0_0|12_7_5,0_0_0|11_4_8,12.98575,0.7422,3759.67456,2651.70801,25,23.0,12.979,12.9932
H2O,0_0_0|16_7_10,0_0_0|15_4_11,13.13243,7.028,5763.84668,4668.25586,99,93.0,13.1242,13.1398
H2O,0_0_0|15_3_12,0_0_0|14_2_13,13.29319,3.783,4431.68994,3349.34888,93,87.0,13.2845,13.3005
H2O,0_0_0|11_7_4,0_0_0|10_4_7,13.50312,0.4852,3340.70435,2275.1897,69,63.0,13.4948,13.5141
H2O,0_0_0|14_3_11,0_0_0|13_2_12,14.34608,3.382,3941.42627,2938.52026,29,27.0,14.34,14.3546
H2O,0_0_0|15_4_11,0_0_0|14_3_12,14.42757,6.089,4668.25586,3671.01538,93,87.0,14.4187,14.4362
H2O,0_0_0|13_2_11,0_0_0|12_1_12,14.51301,1.232,3232.76587,2241.39502,81,75.0,14.5027,14.5225
H2O,0_0_0|19_10_10,0_0_0|18_9_9,14.60337,78.26,8547.61523,7562.37939,39,37.0,14.5955,14.6116
