species,lev_up,lev_low,lam,tau,intens,a_stein,e_up,g_up,xmin,xmax,flux_fit,fwhm_fit,centr_fit
H2O,deblend_comp_1,,24.212200000000024,9.537584351537731e-05,1.0630853546663757e-06,,,,24.055518030910132,24.239782299610393,1.0630853546663757e-06,0.010472026211745717,24.212200000000024
H2O,deblend_comp_2,,24.181900000000056,7.597609200304944e-05,8.794215634196686e-07,,,,24.055518030910132,24.239782299610393,8.794215634196686e-07,0.010874796448558136,24.181900000000056
H2O,deblend_comp_3,,24.15321999999609,0.0002515690882911592,2.911906514839677e-06,,,,24.055518030910132,24.239782299610393,2.911906514839677e-06,0.0108747962687823,24.15321999999609
H2O,deblend_comp_4,,24.144869999995876,0.00013385358434558903,1.4345854186530527e-06,,,,24.055518030910132,24.239782299610393,1.4345854186530527e-06,0.01006925604270659,24.144869999995876
H2O,deblend_comp_5,,24.11238000024905,8.371581657629079e-05,9.690086934399354e-07,,,,24.055518030910132,24.239782299610393,9.690086934399354e-07,0.010874796352260296,24.11238000024905
H2O,deblend_comp_6,,24.09935999997446,0.00043602459460423404,5.046974897117111e-06,,,,24.055518030910132,24.239782299610393,5.046974897117111e-06,0.010874796404434048,24.09935999997446
H2O,deblend_comp_7,,24.095460196417314,1.0395203918545093e-05,1.203005810541617e-07,,,,24.055518030910132,24.239782299610393,1.203005810541617e-07,0.01087265704009609,24.095460196417314
H2O,deblend_comp_8,,24.080279999999597,0.0001289361869816208,1.3818828542512949e-06,,,,24.055518030910132,24.239782299610393,1.3818828542512949e-06,0.010069256010408553,24.080279999999597
H2O,deblend_comp_9,,24.058549999999922,0.0001915322974772593,2.1732953594705025e-06,,,,24.055518030910132,24.239782299610393,2.1732953594705025e-06,0.010660503370218668,24.058549999999922
H2O,deblend_comp_1,,24.14487000000005,0.00024041310853673004,2.775054661771428e-06,,,,24.010847905164614,24.150442048119356,2.775054661771428e-06,0.010844620916501096,24.14487000000005
H2O,deblend_comp_2,,24.112480000026228,8.367748469817471e-05,9.65877421131809e-07,,,,24.010847905164614,24.150442048119356,9.65877421131809e-07,0.010844620883004719,24.112480000026228
H2O,deblend_comp_3,,24.09935999999948,0.0004348932594600008,5.019911669856609e-06,,,,24.010847905164614,24.150442048119356,5.019911669856609e-06,0.010844620935304824,24.09935999999948
H2O,deblend_comp_4,,24.095460000000003,1.15216587852629e-05,1.3295671724764334e-07,,,,24.010847905164614,24.150442048119356,1.3295671724764334e-07,0.010841671685094593,24.095460000000003
H2O,deblend_comp_5,,24.08018000002386,0.00012800056490114287,1.3680486125900965e-06,,,,24.010847905164614,24.150442048119356,1.3680486125900965e-06,0.010041315686336667,24.08018000002386
H2O,deblend_comp_6,,24.05844999999996,0.00018546289670440252,2.061484251430757e-06,,,,24.010847905164614,24.150442048119356,2.061484251430757e-06,0.010442968307996693,24.05844999999996
