wave,flux,err,cont
9.88606,0.010331526704818624,0.003987257021853448,0.7538675975819442
9.89408,0.010630037627529117,0.0037436927758754597,0.754159413260098
9.9021,0.005167856096877639,0.003959421309485491,0.7544549352407708
9.91013,0.00854407424880554,0.0034277997744623892,0.7547541635239623
9.91815,0.009625607898771645,0.002797045498165353,0.7550570981096727
9.92618,0.008542032526014483,0.0035358533802051823,0.7553637389979018
9.9342,0.008384072184855148,0.0024150391412413783,0.7556740861886498
9.94222,0.009120449317356779,0.002448402791806566,0.7559881396819166
9.95025,0.004569701712953118,0.0026732645335681973,0.7563058994777022
9.95827,0.0011775990008262528,0.0024243107759934625,0.7566273655760066
9.96629,0.007945170038831103,0.0021851301853018676,0.7569525379768298
9.97439,0.002079759395709253,0.0019916837223540223,0.7572814166801719
9.98241,0.004793372456313834,0.002077524759748694,0.7576140016860328
9.99044,0.004620180933473712,0.0018628625935201873,0.7579502929944125
9.99846,0.008561347702057073,0.0018026946323410644,0.7582902906053111
10.0065,0.005418542151157664,0.0019426535605325242,0.7586339945187106
10.0145,0.006195774277655826,0.001805588188271159,0.75914196492894
10.0225,0.00838388647107879,0.0020428102158824356,0.7596407278943262
10.0306,0.00924945218412809,0.0018180113768526158,0.7601599269538021
10.0386,0.013803418697080346,0.0019027409226478839,0.7606619592388396
10.0466,0.017473303339067044,0.001970721833885748,0.7610921053352333
10.0546,0.01700765879387933,0.0018109703787996044,0.7614568700123295
10.0626,0.01976928127902122,0.001976488895569004,0.7618200373869974
10.0707,0.01790636478802365,0.00174596557327731,0.7621653578756823
10.0787,0.015273214382769292,0.0016210662374107306,0.7625064461806579
10.0867,0.009718957142722081,0.0017637672372962806,0.7626461046875102
10.0947,0.010563516777394085,0.001893386603726431,0.7627281139913753
10.1027,0.008128078593841122,0.0015574413548916303,0.7628178698488477
10.1108,0.012900354776925301,0.001633535369088075,0.7630049969038496
10.1188,0.011534326472407926,0.001755183056606945,0.7630131691533746
10.1268,0.011992437063837676,0.0017665018022632835,0.7628806442764167
10.1348,0.004173971804346861,0.001531301783053718,0.7625960615247753
10.1428,0.004113636075276479,0.0016009252018186796,0.7622573119667816
10.1509,0.003103640046405394,0.0017947903528284291,0.7618276198932017
10.1589,0.00438758037950437,0.001556711390127322,0.7613129887846755
10.1669,0.007010402629725405,0.001556724854568042,0.7609365773624275
10.1749,0.006802676560424654,0.001651540847882096,0.7605072247524053
10.183,0.007758572664650849,0.0017558655342153832,0.7596435686393705
10.191,0.010740087317862797,0.0015088060733666822,0.7587306865041864
10.199,0.015555724175860038,0.0014625745041232467,0.7577777378013111
10.207,0.0141793005728118,0.0015701645016418767,0.7568798465568765
10.215,0.006378090070614957,0.0015020723399310403,0.7557979646549858
10.2231,0.01001836259626376,0.0014134846015968223,0.7546441355296143
10.2311,0.0024022177427492864,0.0015403962462202908,0.7534514745635538
10.2391,0.007977265921168649,0.0017308190538923927,0.7523173753228211
10.2472,0.004039029580258142,0.00180178150255975,0.7512712638100706
10.2552,0.005378490166605072,0.0015597104068425006,0.7503130409074824
10.2632,0.008081483448910128,0.001673146004324607,0.7493083149440254
10.2712,0.009885342041995312,0.0015729411179752164,0.748305265918859
10.2792,0.0065618304710564025,0.001593511026065014,0.7472763249524629
10.2872,0.0015991900311221842,0.0017128651857504491,0.7463459970715063
10.2953,-0.0005551636261453873,0.001701760778731785,0.7455650183495686
10.3033,0.005909545330983197,0.0017724644728163254,0.7449634162484018
10.3113,0.00812519847588666,0.0017924043369545082,0.7444917013085964
10.3193,0.005114887638966388,0.0019611380006091324,0.744187318024065
10.3273,0.0024334109572488006,0.00190554792000792,0.7440078472281949
10.3353,0.008220335310385348,0.0019389653444156932,0.7439382796896628
10.3434,0.010286528880649511,0.0016176251832858868,0.7439634618219477
10.3514,0.010410667984840468,0.0020722582075089462,0.7440489045916058
10.3594,0.005891212112319129,0.0021010178200794754,0.7441709902287954
10.3674,0.0075133869717042235,0.0018609619044172318,0.7439971756030846
10.3754,0.003706780759935242,0.002148846081064354,0.7438785444072706
10.3834,0.010981784251197332,0.001855102221126472,0.7438728059554763
10.3915,0.004899841843245096,0.0014542764706365105,0.7439215073929634
10.3995,0.014960647588955874,0.0016247748134367167,0.7440313591900224
10.4075,0.016979430511762535,0.0016698273368678715,0.7444464182434231
10.4155,0.021474849167613327,0.0015855114390580945,0.7440518372936301
10.4235,0.013390104990462334,0.001630137679813104,0.7434707095732015
10.4315,0.007575969623653807,0.0015956549721564833,0.7431094198585486
10.4395,0.010139017503959177,0.0015077221743720118,0.7425820240475772
10.4476,0.010909700994494727,0.001569106257218197,0.741981658309246
10.4556,0.009255562034878869,0.001530018864468022,0.7411885602134834
10.4636,0.006395923713619296,0.0016801370734369908,0.7404688610085529
10.4716,0.004260814079333204,0.001611195562679186,0.7397822895701932
10.4796,0.0007738771589964567,0.001673366222725795,0.7391533753349663
10.4876,0.006938382696164198,0.0016260108543785263,0.7385623662788698
10.4956,0.011796957790104031,0.0015641951897166569,0.737962324012328
10.5036,0.01682048027526772,0.0015507122014773607,0.737328426857278
10.5117,0.010453050375950342,0.001675188164790623,0.7366061276079665
10.5197,0.004251226724263697,0.0016783199126081114,0.735933951730879
10.5277,-0.0036391896086558394,0.0015240379738100742,0.7353200511192682
10.5357,0.005299098882403093,0.0016611875513119693,0.7348059842841764
10.5437,0.0042164621274821635,0.0016108016850181594,0.7343823256823052
10.5517,0.0037591878995174534,0.0016791668647048717,0.7340545945215853
10.5597,0.009486371731029394,0.0015896654683509,0.7339400890355159
