lev_up,lev_low,lam,tau,intens,a_stein,e_up,g_up
0_1_0|17_2_15,0_1_0|16_1_16,10.33669,0.071736696,0.610676908,2.598,7488.47217,105
0_1_0|18_4_15,0_1_0|17_1_16,10.43161,0.063369603,0.531421254,6.625,8433.01367,111
0_1_0|16_3_14,0_1_0|15_0_15,10.9884,0.118398356,0.878178055,2.322,6974.646,99
0_1_0|18_5_14,0_1_0|17_2_15,11.06768,0.069925199,0.519765329,10.52,8788.45215,111
0_1_0|17_3_14,0_1_0|16_2_15,11.08288,0.11303305,0.825456274,5.979,7864.93213,105
0_1_0|13_7_6,0_1_0|12_4_9,11.45486,0.068390309,0.473950968,1.107,6681.49365,81
0_1_0|18_6_13,0_1_0|17_3_14,11.57343,0.064495056,0.438084563,13.54,9108.10449,111
0_1_0|15_3_13,0_1_0|14_0_14,11.73657,0.063563114,0.419434692,2.073,6485.31934,31
0_1_0|15_2_13,0_1_0|14_1_14,11.74744,0.190864949,1.203226377,2.07,6484.18408,93
0_1_0|16_4_13,0_1_0|15_1_14,11.75123,0.194494434,1.223768358,5.417,7329.25,99
0_1_0|13_6_7,0_1_0|12_3_10,11.76071,0.092956596,0.604563832,1.036,6392.07178,81
0_1_0|16_3_13,0_1_0|15_2_14,11.81779,0.065271572,0.424256608,5.376,7322.41846,33
0_1_0|17_4_13,0_1_0|16_3_14,12.00584,0.132823928,0.815745717,9.3,8173.04346,105
0_1_0|16_7_10,0_1_0|15_4_11,12.10458,0.079574109,0.489169958,6.272,8230.83789,99
0_1_0|11_7_4,0_1_0|10_4_7,12.28718,0.079965446,0.476020678,0.4983,5810.36084,69
0_1_0|14_7_8,0_1_0|13_4_9,12.40411,0.101611734,0.588260697,2.493,7165.42969,87
0_1_0|16_5_12,0_1_0|15_2_13,12.44545,0.225402567,1.241982656,8.52,7640.25049,99
0_1_0|15_4_12,0_1_0|14_1_13,12.555,0.108804805,0.612133417,4.864,6814.39453,31
0_1_0|14_3_12,0_1_0|13_0_13,12.59914,0.299067447,1.565510653,1.845,6021.03809,87
0_1_0|12_7_6,0_1_0|11_4_7,12.60313,0.097769213,0.547582385,0.8958,6228.93213,75
0_1_0|14_2_12,0_1_0|13_1_13,12.62215,0.099878106,0.557158801,1.84,6018.96338,29
0_1_0|15_3_12,0_1_0|14_2_13,12.68409,0.330239621,1.686059582,4.796,6802.85498,93
0_1_0|16_6_11,0_1_0|15_3_12,12.75847,0.189230402,1.000113745,9.816,7930.55908,99
0_1_0|16_4_12,0_1_0|15_3_13,12.94375,0.080739237,0.429137501,8.302,7596.87891,33
0_1_0|11_6_5,0_1_0|10_3_8,13.15066,0.165237442,0.823804879,0.6687,5515.03906,69
0_1_0|11_5_6,0_1_0|10_2_9,13.2367,0.144934002,0.71718327,0.4325,5265.78467,69
0_1_0|15_5_11,0_1_0|14_2_12,13.2474,0.126767564,0.630079899,7.513,7105.04492,31
0_1_0|15_6_10,0_1_0|14_3_11,13.33791,0.094389561,0.467291997,7.738,7384.5542,31
0_1_0|14_4_11,0_1_0|13_1_12,13.47704,0.530909153,2.221339903,4.337,6324.93652,87
0_1_0|17_5_12,0_1_0|16_4_13,13.4916,0.160066332,0.755220781,12.73,8395.67383,105
0_1_0|13_3_11,0_1_0|12_0_12,13.60264,0.152239634,0.707125751,1.636,5582.05176,27
0_1_0|13_2_11,0_1_0|12_1_12,13.65169,0.458024215,1.906093188,1.626,5578.26514,81
0_1_0|14_3_11,0_1_0|13_2_12,13.72562,0.181008827,0.81588407,4.239,6305.8418,29
0_1_0|14_6_9,0_1_0|13_3_10,13.86514,0.373567,1.543197851,5.628,6868.78369,87
0_1_0|15_4_11,0_1_0|14_3_12,14.08938,0.436811965,1.704457976,7.416,7042.21631,93
0_1_0|14_5_10,0_1_0|13_2_11,14.1191,0.606635102,2.231169148,6.465,6597.29395,87
0_1_0|13_6_8,0_1_0|12_3_9,14.30909,0.141865829,0.589681748,3.717,6384.42725,27
0_1_0|17_12_5,0_1_0|16_11_6,14.33815,0.104053135,0.436140887,120.2,10707.86719,105
0_1_0|18_10_9,0_1_0|17_9_8,14.45525,0.104127658,0.428388639,87.23,10493.44531,111
0_1_0|9_6_3,0_1_0|8_3_6,14.47554,0.153598032,0.619272187,0.2775,4778.19678,57
0_1_0|13_4_10,0_1_0|12_1_11,14.53518,0.277879424,1.064137669,3.829,5861.63232,27
0_1_0|17_11_6,0_1_0|16_10_7,14.59253,0.148786712,0.58985175,101.9,10287.84473,105
0_1_0|16_13_4,0_1_0|15_12_3,14.63497,0.136794303,0.54091333,134.7,10546.59473,99
0_1_0|12_6_7,0_1_0|11_3_8,14.65748,0.417334983,1.497084766,2.228,5932.48682,75
0_1_0|16_5_11,0_1_0|15_4_12,14.72218,0.110300325,0.434152931,12.17,7791.67969,33
0_1_0|12_3_10,0_1_0|11_0_11,14.78088,0.67840771,2.196495675,1.443,5168.69629,75
0_1_0|16_12_5,0_1_0|15_11_4,14.83334,0.19920144,0.747496353,116.1,10120.86621,99
0_1_0|12_2_10,0_1_0|11_1_11,14.88599,0.227407526,0.838327625,1.426,5161.85156,25
0_1_0|18_9_10,0_1_0|17_8_9,14.88644,0.136051807,0.517348032,69.29,10107.62891,111
0_1_0|17_10_7,0_1_0|16_9_8,14.91831,0.205402222,0.759036999,84.38,9882.7998,105
0_1_0|11_6_6,0_1_0|10_3_7,14.92553,0.119790092,0.455287605,1.237,5513.75488,23
0_1_0|13_3_10,0_1_0|12_2_11,15.00529,0.873317332,2.572728639,3.71,5831.09033,81
0_1_0|15_14_1,0_1_0|14_13_2,15.03739,0.174046096,0.638165498,149.4,10408.71387,93
0_1_0|13_5_9,0_1_0|12_2_10,15.04254,0.298857381,1.049838104,5.344,6118.32373,27
0_1_0|16_11_6,0_1_0|15_10_5,15.09456,0.283479002,0.99293281,98.34,9704.40723,99
0_1_0|10_6_5,0_1_0|9_3_6,15.15072,0.278492851,0.96868061,0.6509,5128.81543,63
0_1_0|15_13_2,0_1_0|14_12_3,15.17754,0.254904036,0.889991834,130.4,9984.29297,93
0_1_0|17_6_11,0_1_0|16_5_12,15.25612,0.250779817,0.866303242,21.29,8583.33203,105
0_1_0|17_9_8,0_1_0|16_8_9,15.33036,0.269809077,0.915656712,67.62,9498.10938,105
0_1_0|15_12_3,0_1_0|14_11_4,15.37836,0.368373664,1.201087184,112.2,9563.4834,93
0_1_0|15_12_4,0_1_0|14_11_3,15.37837,0.122791267,0.434845045,112.2,9563.4834,31
0_1_0|16_10_6,0_1_0|15_9_7,15.43084,0.130026222,0.455672028,81.37,9301.88184,33
0_1_0|16_10_7,0_1_0|15_9_6,15.4314,0.390196195,1.253003732,81.39,9301.87305,99
0_1_0|9_5_4,0_1_0|8_2_7,15.48275,0.259685095,0.864036039,0.3154,4519.26465,57
0_1_0|14_4_10,0_1_0|13_3_11,15.49143,0.263113613,0.873287247,6.72,6510.80859,29
0_1_0|18_8_11,0_1_0|17_7_10,15.60334,0.161392872,0.545132463,50.36,9748.84375,111
0_1_0|14_14_1,0_1_0|13_13_0,15.64308,0.316673714,1.009057578,145.1,9869.81836,87
0_1_0|15_11_4,0_1_0|14_10_5,15.64706,0.520611388,1.551216372,94.79,9150.89941,93
0_1_0|15_11_5,0_1_0|14_10_4,15.64709,0.173537373,0.57989572,94.79,9150.89941,31
0_1_0|8_6_3,0_1_0|7_3_4,15.66788,0.124407095,0.421449827,0.1552,4461.82471,51
0_1_0|12_4_9,0_1_0|11_1_10,15.7452,1.252929803,2.954502339,3.325,5425.45312,75
0_1_0|14_13_1,0_1_0|13_12_2,15.77752,0.152879384,0.50450782,126.3,9451.88867,29
0_1_0|14_13_2,0_1_0|13_12_1,15.77752,0.45862482,1.367039272,126.3,9451.91309,87
0_1_0|17_8_9,0_1_0|16_7_10,15.80571,0.328052397,1.016282394,51.58,9141.12793,105
0_1_0|16_9_7,0_1_0|15_8_8,15.85955,0.171020221,0.554058228,65.33,8918.4375,33
0_1_0|16_9_8,0_1_0|15_8_7,15.86753,0.512908334,1.482280525,65.26,8918.36035,99
0_1_0|14_12_2,0_1_0|13_11_3,15.97997,0.218971964,0.68556687,108.4,9036.32617,29
0_1_0|12_5_8,0_1_0|11_2_9,15.98302,1.19106392,2.758300474,4.141,5669.52832,75
0_1_0|15_10_5,0_1_0|14_9_6,15.99557,0.713888462,1.900130247,78.38,8751.23145,93
0_1_0|15_10_6,0_1_0|14_9_5,15.99573,0.2379661,0.73854748,78.38,8751.23145,31
0_1_0|17_7_10,0_1_0|16_6_11,16.05436,0.341115292,1.014009793,36.11,8826.74902,105
