lev_up,lev_low,lam,tau,intens,a_stein,e_up,g_up
0_0_0|18_2_16,0_0_0|17_1_17,10.42552,0.173610825,1.403329313,2.03,5669.56445,37
0_0_0|17_3_15,0_0_0|16_0_16,11.03377,0.300163767,2.076044031,1.85,5132.48291,35
0_0_0|17_2_15,0_0_0|16_1_16,11.03475,0.900699263,5.15315099,1.85,5132.36621,105
0_0_0|16_3_14,0_0_0|15_0_15,11.72455,1.515324753,6.433296877,1.682,4620.21826,99
0_0_0|16_2_14,0_0_0|15_1_15,11.72672,0.505346801,2.882078967,1.682,4619.99121,33
0_0_0|20_12_8,0_0_0|19_11_9,13.55068,0.089172596,0.426917128,118.9,9978.53027,41
0_0_0|20_12_9,0_0_0|19_11_8,13.55091,0.267523557,1.205275412,118.9,9978.52832,123
0_0_0|19_14_6,0_0_0|18_13_5,13.55404,0.0928352,0.443643261,154.2,10121.33984,39
0_0_0|19_14_5,0_0_0|18_13_6,13.55404,0.278324987,1.248767928,154.1,10121.33984,117
0_0_0|19_13_6,0_0_0|18_12_7,13.73089,0.403165709,1.685955714,134.3,9708.09766,117
0_0_0|19_13_7,0_0_0|18_12_6,13.7309,0.134488852,0.615378558,134.4,9708.09766,39
0_0_0|18_16_2,0_0_0|17_15_3,13.76219,0.089736254,0.41485239,190.2,10297.83398,37
0_0_0|18_16_3,0_0_0|17_15_2,13.76219,0.269208762,1.170801108,190.2,10297.83398,111
0_0_0|18_15_4,0_0_0|17_14_3,13.8552,0.396354777,1.627771802,169.4,9882.71484,111
0_0_0|18_15_3,0_0_0|17_14_4,13.8552,0.132195853,0.593191708,169.5,9882.71875,37
0_0_0|19_12_7,0_0_0|18_11_8,13.95566,0.569739606,2.176809982,115.1,9305.15039,117
0_0_0|19_12_8,0_0_0|18_11_7,13.9557,0.189913206,0.822007436,115.1,9305.15332,39
0_0_0|18_14_4,0_0_0|17_13_5,13.98964,0.193089629,0.830274781,149.4,9468.67383,37
0_0_0|18_14_5,0_0_0|17_13_4,13.98964,0.579268886,2.194421325,149.4,9468.67383,111
0_0_0|18_13_5,0_0_0|17_12_6,14.16883,0.277817598,1.127891013,130.0,9059.82812,37
0_0_0|18_13_6,0_0_0|17_12_5,14.16883,0.833453024,2.835380932,130.0,9059.82812,111
0_0_0|17_17_1,0_0_0|16_16_0,14.21063,0.126497424,0.536976131,205.7,10062.6377,35
0_0_0|17_17_0,0_0_0|16_16_1,14.21063,0.379307782,1.479024093,205.6,10062.6377,105
0_0_0|19_11_8,0_0_0|18_10_9,14.23737,0.779029561,2.664937911,96.63,8916.77246,117
