xmin,xmax,lam
18.5635,18.5739,18.5687
18.677,18.695,18.686
18.7318,18.7417,18.73675
18.8036,18.8192,18.8114
18.8981,18.9167,18.9074
18.9468,18.9653,18.95605
19.1411,19.1711,19.1561
19.3612,19.3736,19.3674
19.3913,19.4042,19.39775
19.5081,19.5519,19.53
19.7016,19.7154,19.7085
19.8536,19.8626,19.8581
20.402,20.4148,20.4084
20.5078,20.5329,20.52035
20.584,20.63,20.607
20.6821,20.771,20.72655
20.72,20.735,20.7275
20.83,20.85,20.84
20.9537,20.9769,20.9653
21.3018,21.3145,21.30815
21.391,21.4083,21.39965
21.4802,21.5013,21.49075
21.6264,21.6481,21.63725
21.9215,21.9419,21.9317
22.0572,22.0642,22.0607
22.0995,22.1217,22.1106
22.1515,22.1722,22.16185
22.1736,22.1935,22.18355
22.2982,22.3145,22.30635
22.49,22.52,22.505
22.5554,22.5915,22.57345
22.683,22.6975,22.69025
22.7889,22.813,22.80095
22.9341,22.9496,22.94185
23.0229,23.0506,23.03675
23.1434,23.1726,23.158
23.2704,23.3097,23.29005
23.4006,23.4474,23.424
23.6591,23.7082,23.68365
23.7182,23.7318,23.725
23.965,24.044,24.0045
24.228,24.2412,24.2346
24.2717,24.2872,24.27945
24.3374,24.3492,24.3433
24.789,24.8076,24.7983
24.8524,24.8844,24.8684
25.2745,25.2984,25.28645
25.383,25.449,25.416
25.7377,25.7599,25.7488
25.7801,25.8158,25.79795
25.8809,25.916,25.89845
26.0679,26.0845,26.0762
26.114,26.1279,26.12095
26.2175,26.229,26.22325
26.2941,26.319,26.30655
26.3611,26.4026,26.38185
26.4807,26.5005,26.4906
26.5365,26.5541,26.5453
26.8131,26.8486,26.83085
26.8727,26.8953,26.884
26.9341,26.98,26.95705
27.1487,27.1768,27.16275
27.2028,27.2379,27.22035
27.2624,27.2753,27.26885
27.4798,27.5205,27.50015
27.7204,27.7735,27.74695
27.7744,27.8344,27.8044
